timestamp,post_title,post_url,matched_products_num,matched_products
2021-08-20T00:58:59.710Z,Coinbase updates investment policy to increase investments in crypto assets,https://blog.coinbase.com/coinbase-updates-investment-policy-to-increase-investments-in-crypto-assets-a68c752ea786,2,"[('BTC', 'Bitcoin'), ('ETH', 'Ethereum')]"
2021-08-16T15:37:40.439Z,Coinbase Ventures: Investing for a Decentralized World,https://blog.coinbase.com/coinbase-ventures-investing-for-a-decentralized-world-d7a810913bcb,2,"[('UNI', 'Uniswap'), ('COMP', 'Compound')]"
2021-08-07T00:02:24.894Z,Fact Check: USD Coin is the largest regulated stablecoin in the world,https://blog.coinbase.com/fact-check-usd-coin-is-the-largest-regulated-stablecoin-in-the-world-6e7f3c06cbf0,1,"[('USDC', 'USD Coin')]"
2021-06-29T18:58:22.574Z,Embracing decentralization at Coinbase,https://blog.coinbase.com/embracing-decentralization-at-coinbase-7fa0e5d1084b,2,"[('AUTO', 'Auto'), ('BTC', 'Bitcoin')]"
2021-08-05T16:00:02.169Z,"More ways to buy crypto and cash out, now on Coinbase",https://blog.coinbase.com/more-ways-to-buy-crypto-and-cash-out-now-on-coinbase-2790e3bbc751,1,"[('AUTO', 'Auto')]"
2021-07-02T10:36:31.407Z,Coinbase expands international payments options for institutional customers,https://blog.coinbase.com/coinbase-expands-international-payments-options-for-institutional-customers-1c92ae7283af,2,"[('GBP', 'Pound Sterling'), ('EUR', 'Euro')]"
2021-07-02T04:18:07.638Z,Building Crypto Out of India,https://blog.coinbase.com/building-crypto-out-of-india-5cd5afa6d884,1,"[('MATIC', 'Polygon')]"
2021-06-28T19:13:32.832Z,Coinbase secures first crypto licence in Germany,https://blog.coinbase.com/coinbase-secures-first-crypto-licence-in-germany-8a5207fbc03b,2,"[('EUR', 'Euro'), ('BTC', 'Bitcoin')]"
2021-06-23T13:53:12.663Z,Introducing Solidify — a tool to automatically detect and classify smart contract security risks,https://blog.coinbase.com/introducing-solidify-a-tool-to-automatically-detect-and-classify-smart-contract-security-risks-73a1338fdbbe,4,"[('AST', 'AirSwap'), ('ZRX', '0x'), ('LINK', 'ChainLink'), ('ETH', 'Ethereum')]"
2021-06-30T15:03:29.943Z,Top ten smart contract security risks,https://blog.coinbase.com/top-ten-smart-contract-security-risks-47ecbe8af15d,2,"[('FLOW', 'Flow'), ('SC', 'Siacoin')]"
2021-08-19T15:15:28.171Z,Continuing our commitment to customers: introducing phone support for ATOs,https://blog.coinbase.com/continuing-our-commitment-to-customers-introducing-phone-support-for-atos-c9ca788bf85,0,[]
2021-08-19T01:03:33.479Z,Coinbase launches in Japan,https://blog.coinbase.com/coinbase-launches-in-japan-273cd9d6bd8c,1,"[('BTC', 'Bitcoin')]"
2021-08-18T00:10:06.071Z,"Around the Block #15: CryptoPunks, the NFT boom, and EIP-1559",https://blog.coinbase.com/around-the-block-15-cryptopunks-the-nft-boom-and-eip-1559-cb3aeb78fa81,7,"[('SOL', 'Solana'), ('USDC', 'USD Coin'), ('AUTO', 'Auto'), ('OG', 'OG Fan Token'), ('AUDIO', 'Audius'), ('BTC', 'Bitcoin'), ('ETH', 'Ethereum')]"
2021-08-12T22:59:58.450Z,"Axie Infinity (AXS), Request (REQ), TrueFi (TRU), Quickswap (QUICK) and Wrapped Luna (WLUNA) are…",https://blog.coinbase.com/axie-infinity-axs-request-req-truefi-tru-quickswap-quick-and-wrapped-luna-wluna-are-18c012228487,7,"[('REQ', 'Request Network'), ('TRU', 'TrueFi'), ('LUNA', 'Terra'), ('QUICK', 'QuickSwap'), ('AXS', 'Axie Infinity'), ('MATIC', 'Polygon'), ('ETH', 'Ethereum')]"
