timestamp,p_symbol,p_name,post_title,post_url
2021-08-20T00:58:59.710Z,BTC,Bitcoin,Coinbase updates investment policy to increase investments in crypto assets,https://blog.coinbase.com/coinbase-updates-investment-policy-to-increase-investments-in-crypto-assets-a68c752ea786
2021-08-20T00:58:59.710Z,ETH,Ethereum,Coinbase updates investment policy to increase investments in crypto assets,https://blog.coinbase.com/coinbase-updates-investment-policy-to-increase-investments-in-crypto-assets-a68c752ea786
2021-08-16T15:37:40.439Z,UNI,Uniswap,Coinbase Ventures: Investing for a Decentralized World,https://blog.coinbase.com/coinbase-ventures-investing-for-a-decentralized-world-d7a810913bcb
2021-08-16T15:37:40.439Z,COMP,Compound,Coinbase Ventures: Investing for a Decentralized World,https://blog.coinbase.com/coinbase-ventures-investing-for-a-decentralized-world-d7a810913bcb
2021-08-07T00:02:24.894Z,USDC,USD Coin,Fact Check: USD Coin is the largest regulated stablecoin in the world,https://blog.coinbase.com/fact-check-usd-coin-is-the-largest-regulated-stablecoin-in-the-world-6e7f3c06cbf0
2021-06-29T18:58:22.574Z,AUTO,Auto,Embracing decentralization at Coinbase,https://blog.coinbase.com/embracing-decentralization-at-coinbase-7fa0e5d1084b
2021-06-29T18:58:22.574Z,BTC,Bitcoin,Embracing decentralization at Coinbase,https://blog.coinbase.com/embracing-decentralization-at-coinbase-7fa0e5d1084b
2021-08-05T16:00:02.169Z,AUTO,Auto,"More ways to buy crypto and cash out, now on Coinbase",https://blog.coinbase.com/more-ways-to-buy-crypto-and-cash-out-now-on-coinbase-2790e3bbc751
2021-07-02T10:36:31.407Z,GBP,Pound Sterling,Coinbase expands international payments options for institutional customers,https://blog.coinbase.com/coinbase-expands-international-payments-options-for-institutional-customers-1c92ae7283af
2021-07-02T10:36:31.407Z,EUR,Euro,Coinbase expands international payments options for institutional customers,https://blog.coinbase.com/coinbase-expands-international-payments-options-for-institutional-customers-1c92ae7283af
2021-07-02T04:18:07.638Z,MATIC,Polygon,Building Crypto Out of India,https://blog.coinbase.com/building-crypto-out-of-india-5cd5afa6d884
2021-06-28T19:13:32.832Z,EUR,Euro,Coinbase secures first crypto licence in Germany,https://blog.coinbase.com/coinbase-secures-first-crypto-licence-in-germany-8a5207fbc03b
2021-06-28T19:13:32.832Z,BTC,Bitcoin,Coinbase secures first crypto licence in Germany,https://blog.coinbase.com/coinbase-secures-first-crypto-licence-in-germany-8a5207fbc03b
2021-06-23T13:53:12.663Z,AST,AirSwap,Introducing Solidify — a tool to automatically detect and classify smart contract security risks,https://blog.coinbase.com/introducing-solidify-a-tool-to-automatically-detect-and-classify-smart-contract-security-risks-73a1338fdbbe
2021-06-23T13:53:12.663Z,ZRX,0x,Introducing Solidify — a tool to automatically detect and classify smart contract security risks,https://blog.coinbase.com/introducing-solidify-a-tool-to-automatically-detect-and-classify-smart-contract-security-risks-73a1338fdbbe
2021-06-23T13:53:12.663Z,LINK,ChainLink,Introducing Solidify — a tool to automatically detect and classify smart contract security risks,https://blog.coinbase.com/introducing-solidify-a-tool-to-automatically-detect-and-classify-smart-contract-security-risks-73a1338fdbbe
2021-06-23T13:53:12.663Z,ETH,Ethereum,Introducing Solidify — a tool to automatically detect and classify smart contract security risks,https://blog.coinbase.com/introducing-solidify-a-tool-to-automatically-detect-and-classify-smart-contract-security-risks-73a1338fdbbe
2021-06-30T15:03:29.943Z,FLOW,Flow,Top ten smart contract security risks,https://blog.coinbase.com/top-ten-smart-contract-security-risks-47ecbe8af15d
2021-06-30T15:03:29.943Z,SC,Siacoin,Top ten smart contract security risks,https://blog.coinbase.com/top-ten-smart-contract-security-risks-47ecbe8af15d
2021-08-19T01:03:33.479Z,BTC,Bitcoin,Coinbase launches in Japan,https://blog.coinbase.com/coinbase-launches-in-japan-273cd9d6bd8c
2021-08-18T00:10:06.071Z,SOL,Solana,"Around the Block #15: CryptoPunks, the NFT boom, and EIP-1559",https://blog.coinbase.com/around-the-block-15-cryptopunks-the-nft-boom-and-eip-1559-cb3aeb78fa81
2021-08-18T00:10:06.071Z,USDC,USD Coin,"Around the Block #15: CryptoPunks, the NFT boom, and EIP-1559",https://blog.coinbase.com/around-the-block-15-cryptopunks-the-nft-boom-and-eip-1559-cb3aeb78fa81
2021-08-18T00:10:06.071Z,AUTO,Auto,"Around the Block #15: CryptoPunks, the NFT boom, and EIP-1559",https://blog.coinbase.com/around-the-block-15-cryptopunks-the-nft-boom-and-eip-1559-cb3aeb78fa81
2021-08-18T00:10:06.071Z,OG,OG Fan Token,"Around the Block #15: CryptoPunks, the NFT boom, and EIP-1559",https://blog.coinbase.com/around-the-block-15-cryptopunks-the-nft-boom-and-eip-1559-cb3aeb78fa81
2021-08-18T00:10:06.071Z,AUDIO,Audius,"Around the Block #15: CryptoPunks, the NFT boom, and EIP-1559",https://blog.coinbase.com/around-the-block-15-cryptopunks-the-nft-boom-and-eip-1559-cb3aeb78fa81
2021-08-18T00:10:06.071Z,BTC,Bitcoin,"Around the Block #15: CryptoPunks, the NFT boom, and EIP-1559",https://blog.coinbase.com/around-the-block-15-cryptopunks-the-nft-boom-and-eip-1559-cb3aeb78fa81
2021-08-18T00:10:06.071Z,ETH,Ethereum,"Around the Block #15: CryptoPunks, the NFT boom, and EIP-1559",https://blog.coinbase.com/around-the-block-15-cryptopunks-the-nft-boom-and-eip-1559-cb3aeb78fa81
2021-08-12T22:59:58.450Z,REQ,Request Network,"Axie Infinity (AXS), Request (REQ), TrueFi (TRU), Quickswap (QUICK) and Wrapped Luna (WLUNA) are…",https://blog.coinbase.com/axie-infinity-axs-request-req-truefi-tru-quickswap-quick-and-wrapped-luna-wluna-are-18c012228487
2021-08-12T22:59:58.450Z,TRU,TrueFi,"Axie Infinity (AXS), Request (REQ), TrueFi (TRU), Quickswap (QUICK) and Wrapped Luna (WLUNA) are…",https://blog.coinbase.com/axie-infinity-axs-request-req-truefi-tru-quickswap-quick-and-wrapped-luna-wluna-are-18c012228487
2021-08-12T22:59:58.450Z,LUNA,Terra,"Axie Infinity (AXS), Request (REQ), TrueFi (TRU), Quickswap (QUICK) and Wrapped Luna (WLUNA) are…",https://blog.coinbase.com/axie-infinity-axs-request-req-truefi-tru-quickswap-quick-and-wrapped-luna-wluna-are-18c012228487
2021-08-12T22:59:58.450Z,QUICK,QuickSwap,"Axie Infinity (AXS), Request (REQ), TrueFi (TRU), Quickswap (QUICK) and Wrapped Luna (WLUNA) are…",https://blog.coinbase.com/axie-infinity-axs-request-req-truefi-tru-quickswap-quick-and-wrapped-luna-wluna-are-18c012228487
2021-08-12T22:59:58.450Z,AXS,Axie Infinity,"Axie Infinity (AXS), Request (REQ), TrueFi (TRU), Quickswap (QUICK) and Wrapped Luna (WLUNA) are…",https://blog.coinbase.com/axie-infinity-axs-request-req-truefi-tru-quickswap-quick-and-wrapped-luna-wluna-are-18c012228487
